train/success_rate,train_0/reward,train_0/current_q,train_0/fw_bonus,train_1/reward_-1.0_frac,train_1/fw_loss,train_0/q_grads,train_1/q_grads_std,train_0/next_q,test/success_rate,train_1/reward_-0.0_frac,train_1/mu_grads_std,train_0/mu_grads,train_0/mu_grads_std,train_1/mu_grads,train_1/q_loss,test_1/n_subgoals,train_1/subgoal_succ_rate,train_0/fw_loss,train_0/reward_-0.0_frac,train_1/target_q,test_1/avg_q,train_1/current_q,train_1/n_subgoals,train_0/reward_-1.0_frac,train_0/avg_q,train_1/mu_loss,policy/steps,train_0/q_grads_std,epoch,train/episodes,train_0/mu_loss,train_1/fw_bonus,test/episodes,train_1/reward_-27.0_frac,train_0/q_loss,train_1/next_q,test_0/avg_q,train_0/target_q,test_1/subgoal_succ_rate,train_1/avg_q,train_1/reward,train_1/q_grads
0.05,-0.8785736365098273,-4.750817158699593,-0.9986043646931648,0.003076171875,0.0015120600233785807,0.02729930798523128,0.23386266455054283,-4.505728888908992,0.0,0.0,0.1537063229829073,-0.006823617604095489,0.1667235653847456,0.02268810449168086,10.542074127955695,813.0,0.07288519637462236,0.0003359651702339761,0.0,-7.811690273997598,-7.7523427129326885,-7.775237798266597,2648.0,7.32421875e-05,-2.8591711414080523,8.491073237773133,85696.0,0.14918869435787202,0,100.0,4.4672326292824796,-0.994393627345562,25.0,0.0,0.43127285071235716,-8.387126966846969,-0.7997695818505639,-4.76841483058339,0.17466174661746617,-5.200785757302671,-1.5676702267897782,-0.004769267502706498
0.16,-0.8894616445453721,-5.984196343735894,-0.998497697710991,0.0032958984375,0.0014890898746671155,0.02642038566991687,0.2923977576196194,-5.70446877412529,0.04,0.0,0.19753388166427613,-0.006288119754754007,0.20889818146824837,0.019900420401245355,13.817498137387588,7729.0,0.10064153969526865,0.0003612916036217939,0.0,-9.365331994032061,-4.955720252394791,-9.228837826676251,2494.0,0.0,-6.328633490210376,10.673999393233785,166618.0,0.16846082732081413,1,200.0,5.781403625475701,-0.9945174783468247,50.0,0.0,0.37739227064445896,-10.646757865460529,-1.819543881708431,-5.919889666523376,0.9519989649372493,-7.452841506833914,-1.529500175081921,-0.010094242170453072
0.38,-0.8948947317883722,-3.309860784846316,-0.9982385456562042,0.0023193359375,0.0017214319232152775,0.024009308451786636,0.3318732626736164,-3.0277549578192926,0.0,0.0,0.22258865050971507,-0.016585464403033257,0.22782700024545194,0.019095557695254683,9.443816541976224,684.0,0.26732673267326734,0.0004228129102557432,0.0,-8.952698723301152,-3.2157256911572887,-8.84939557705238,2222.0,0.0,-9.809164426241631,10.058560143358454,233081.0,0.17834670953452586,2,300.0,3.075392196440641,-0.9932647466659545,75.0,0.0,0.5035365672458149,-10.076452486030904,-0.852315455966561,-3.392286734937808,0.013157894736842105,-5.426196063424059,-1.4719077833709888,-0.010911732446402311
0.46,-0.8980675110695302,-5.974685839977748,-0.9982371434569359,0.00244140625,0.0015991004649549723,0.0249599932692945,0.36243453472852705,-5.618640262886613,0.08,0.0,0.23716969303786756,-0.015371269220486284,0.24549515843391417,0.01847914713434875,6.325190746579968,7906.0,0.16375648890986313,0.0004231450191582553,0.0,-9.193927042004526,-4.644303672376651,-9.132858277761624,2119.0,2.44140625e-05,-6.606586852261861,10.003019605015435,301585.0,0.18417289145290852,3,400.0,5.749967804407219,-0.9939243242144584,100.0,0.0,0.3149302848430262,-9.988982853300593,-1.8728922343349186,-5.93101810804653,0.9533265874019732,-5.014476673686718,-1.45678968186985,-0.010836381232365966
0.47,-0.9023401492333505,-5.032906485997357,-0.9983106210827828,0.0031982421875,0.001762028579832986,0.02507797395810485,0.3861238330602646,-4.717461509026501,0.08,0.0,0.24362784400582313,-0.025273344572633506,0.26370165720582006,0.01453065061941743,5.63813453229452,1445.0,0.22005703422053233,0.00040570068449596874,0.0,-9.42995922398463,-4.620145036633521,-9.364369346701746,2104.0,0.0,-9.434950473363397,10.104765079421686,366895.0,0.1897658284753561,4,500.0,4.762085808677497,-0.9930458471179009,125.0,0.0,0.43443869522615836,-10.077562018853566,-1.234061128152881,-5.073684983663881,0.5806228373702422,-5.405444204942736,-1.4759123176307185,-0.011609847610816359
0.57,-0.9038598805782385,-5.483739877458736,-0.9983838185667991,0.0030517578125,0.0017785656586056576,0.027268597530201076,0.40546201914548874,-5.143390884839336,0.0,0.0,0.2509743243455887,-0.039879545010626315,0.26712272986769675,0.011683205212466418,4.354299922223259,2301.0,0.2046875,0.0003883264129399322,0.0,-9.117525283202681,-3.906376118108147,-9.026440835709618,1920.0,4.8828125e-05,-8.297189046434905,9.60303002851473,429307.0,0.19761258959770203,5,600.0,5.286903621430828,-0.9929566904902458,150.0,0.0,0.42839011802118565,-9.60070265955719,-2.313621373199023,-5.450480857608268,0.7366362451108214,-5.443639423872719,-1.4561066738839146,-0.012170029804110527
0.48,-0.9061680300961598,-5.6563339709584195,-0.9985397964715957,0.0030517578125,0.0017255175160244107,0.02900843839161098,0.42077707722783086,-5.304843477516024,0.0,0.0,0.2605723269283772,-0.04598760101944208,0.2823182366788387,0.010327860782854258,4.047489469895622,703.0,0.2347036328871893,0.0003512949107971508,0.0,-9.151111351914654,-3.3891921209173943,-9.084377662763524,2092.0,0.0,-9.373497990274391,9.452139226132328,494221.0,0.20852356404066086,6,700.0,5.4513087178262065,-0.9932427078485488,175.0,0.0,0.46201008197792043,-9.441591395222789,-2.0446425494287017,-5.588083533058499,0.03982930298719772,-5.307830274025183,-1.4336527356033912,-0.012793048238381743
0.54,-0.9104666952014668,-5.694959258530494,-0.9985666036605835,0.00263671875,0.0017821452667703852,0.027416363591328263,0.4297518864274025,-5.313082495954603,0.04,0.0,0.2695391371846199,-0.045502381306141614,0.30843901336193086,0.008434357843361795,3.406401046154401,7931.0,0.18503937007874016,0.0003449321797234006,0.0,-8.908398577939169,-3.9516397911956345,-8.877380490399945,2032.0,7.32421875e-05,-8.835075805397844,9.014646069149158,559240.0,0.21581708937883376,7,800.0,5.470103559674305,-0.9929373770952225,200.0,0.0,0.45993914751261283,-8.986088630007908,-1.7559153175700164,-5.615949419966905,0.9543563232883622,-4.932714148846539,-1.4294259382477321,-0.013830376649275422
0.57,-0.9113876515693846,-5.991289300513987,-0.9985982522368431,0.0036865234375,0.0017399005009792745,0.028678727336227894,0.4374244064092636,-5.633782127247313,0.0,0.0,0.27288866341114043,-0.052766162995249034,0.3194634333252907,0.005472770542837679,2.9945107236051087,1366.0,0.24066599394550958,0.0003374175488715991,0.0,-8.478564429591774,-2.9444329765633053,-8.375387413707926,1982.0,2.44140625e-05,-9.696303567128822,8.365790260606655,621887.0,0.2254255920648575,8,900.0,5.806303769688064,-0.9931651651859283,225.0,0.0,0.551200202422313,-8.332941488704176,-2.6500584779975376,-5.899807714287649,0.5256222547584187,-4.9997871794587025,-1.4182381279075345,-0.01651625344529748
0.64,-0.9143903599848272,-5.854435093074218,-0.9987363010644913,0.0031494140625,0.0015924252715194599,0.028324827924370764,0.4456848815083504,-5.4688161094265855,0.12,0.0,0.27980767786502836,-0.05524965040385723,0.3317814253270626,0.0028221656451933087,2.6097220285994815,1459.0,0.25419287211740044,0.00030464326409855856,0.0,-7.783048966776869,-4.940744894994404,-7.721392793158344,1908.0,0.0005859375,-9.578695668655515,7.584995863778187,681654.0,0.232717040553689,9,1000.0,5.637479446348931,-0.9939603090286255,250.0,0.0,0.5064974803374425,-7.527394053898507,-1.8342081614040633,-5.771739330994498,0.5935572309801234,-4.785831552891686,-1.4048818602925166,-0.01750667323358357
0.61,-0.9143431979769957,-6.303501290211448,-0.9988687187433243,0.0030517578125,0.0015036354656331242,0.028864718088880182,0.4527556926012039,-5.890557961212385,0.12,0.0,0.28991707116365434,-0.06099294666200876,0.3490245945751667,-0.0017869478004286065,2.6211167277680074,666.0,0.25118483412322273,0.0002732034725340782,0.0,-7.837383574296458,-2.727025633639279,-7.802386171463087,1899.0,0.000390625,-9.633888422411324,7.587101436335144,741937.0,0.24432399086654186,10,1100.0,6.092576909801774,-0.9944390654563904,275.0,0.0,0.3715031815744223,-7.585734732775521,-1.9707622988225788,-6.267489776155352,0.009009009009009009,-5.135989416447234,-1.4005717249907321,-0.021228794008493423
0.48,-0.9147619515802944,-3.695026835795846,-0.9987923055887222,0.0032958984375,0.0015219224645989017,0.028419858310371637,0.4652929425239563,-3.4303535431299688,0.0,0.0,0.29841483682394027,-0.06285601239651442,0.3638053685426712,-0.007526876335032284,2.1007936384329673,675.0,0.16595542911332384,0.0002913478558184579,0.0,-8.229776547466583,-2.9566530675174807,-8.179640500633813,2109.0,0.00029296875,-9.207892766613124,8.042923764186902,810642.0,0.25200660303235056,11,1200.0,3.4538812949863447,-0.9943404495716095,300.0,0.0,0.8204484875028519,-8.030953425563752,-1.9260536371667294,-3.6589725811090488,0.0,-4.830791611849611,-1.4000522175410879,-0.02420193199068308
0.16,-0.9111403019895079,-3.962498041200747,-0.9988137081265449,0.002734375,0.0019876563776051624,0.028607946168631316,0.4758609510958195,-3.626725751399666,0.04,0.0,0.30944590717554094,-0.06565337367355824,0.36911240592598915,-0.010497046750970185,2.903761180807886,659.0,0.07261904761904762,0.00028626876046473627,0.0,-9.34284617402635,-3.7259211138552257,-9.274860695443255,2520.0,0.0007568359375,-4.081411236471237,9.467314885476487,892712.0,0.2551115766167641,12,1300.0,3.6775576242975037,-0.9918293058872223,325.0,0.0,0.6176082190739514,-9.458996509454563,-1.174128253064045,-3.8965851521301134,0.0030349013657056147,-5.283532295484943,-1.405993560711795,-0.02587275942787528
0.08,-0.906326982282917,-3.5864653626355603,-0.9989063635468483,0.0025146484375,0.002111484782653861,0.02858737614005804,0.48880007266998293,-3.25361298889527,0.0,0.0,0.3222498089075089,-0.0663078298792243,0.3770390793681145,-0.015315998787991702,2.86607183703811,701.0,0.08012326656394453,0.00026427130978845526,0.0,-9.925997802218617,-5.681109867326386,-9.797784238067555,2596.0,0.0033447265625,-2.9014964965607297,10.484919240863471,976776.0,0.25491372123360634,13,1400.0,3.3024986744510216,-0.9911616504192352,350.0,0.0,0.5240033179648242,-10.466653034054023,-1.6002929612500254,-3.539637508950996,0.03851640513552068,-5.419083301876479,-1.448839983552898,-0.02708876533433795
0.37,-0.9028711701233988,-4.791833557553336,-0.9988396227359772,0.0024169921875,0.00198456002981402,0.02842321996577084,0.505651667714119,-4.492618138291932,0.0,0.0,0.33060559183359145,-0.05912931999191642,0.3952521540224552,-0.01696862201206386,2.4970246513012384,675.0,0.09301227573182247,0.0002801143789838534,0.0,-9.323294629468414,-5.8666283331145275,-9.21756345970543,2118.0,0.000830078125,-5.184510543841681,9.719826564198504,1048045.0,0.25908396765589714,14,1500.0,4.590096733653108,-0.9918460085988045,375.0,0.0,0.6081400043840774,-9.692116667273545,-1.8783258928962014,-4.69687946523289,0.0,-6.3031621407378475,-1.4479494418279502,-0.02900042776018381
0.54,-0.9023306714938372,-4.4834353623277305,-0.9988595187664032,0.0029052734375,0.002034700004151091,0.028415946243330836,0.5193493142724037,-4.156126653752251,0.0,0.0,0.34220014214515687,-0.06349605340510607,0.39925300553441045,-0.020097401225939393,2.2112912008761065,675.0,0.17421259842519685,0.00027539115435502024,0.0,-9.4011062312991,-5.339897075768215,-9.281328465601584,2032.0,0.0015625,-6.22895118488464,9.797918606593827,1114290.0,0.26101638153195383,15,1600.0,4.2562043054942125,-0.9915756583213806,400.0,0.0,0.38265000202903837,-9.779854479861132,-1.2351257427381608,-4.500299138920075,0.0,-6.397939444962686,-1.451707863478805,-0.0286345936357975
0.56,-0.9047058563941391,-4.298362891437438,-0.998925830423832,0.0026611328125,0.0019054900476476178,0.02842947281897068,0.5330789238214493,-3.9535602740792415,0.0,0.0,0.3491015523672104,-0.06832481864839793,0.4041895501315594,-0.022121806629002094,2.230226005496185,675.0,0.19522776572668113,0.00025964447850128635,0.0,-9.732880110737863,-5.644098916761739,-9.620478586126456,1844.0,0.000927734375,-6.035310118611735,10.203441030869879,1175456.0,0.2618098981678486,16,1700.0,4.025620395008408,-0.9922723203897477,425.0,0.0,0.5239485660638733,-10.193894111893545,-1.5356292639149507,-4.219929858188571,0.0,-6.537791055635298,-1.468160546310537,-0.029480399563908577
0.76,-0.905311585655727,-4.359620228375197,-0.9990010663866997,0.0032470703125,0.0016899139969609677,0.02890626466833055,0.544445876777172,-4.048767075561175,0.12,0.0,0.3548027239739895,-0.06918546110391617,0.4125365994870663,-0.02357055931352079,2.04638187209856,910.0,0.20902612826603326,0.0002417874875391135,0.0,-9.382820885400315,-6.218753760179096,-9.258081194859328,1684.0,0.0011962890625,-4.36083692339087,9.810827315869798,1231869.0,0.266256582736969,17,1800.0,4.139406831499931,-0.9934346795082092,450.0,0.0,0.5777872999332889,-9.781991866586523,-1.7524667049692557,-4.2904054171681505,0.2857142857142857,-6.4531942205098565,-1.4547439751739148,-0.031570683140307663
0.79,-0.9026953082764522,-4.303587673172207,-0.9989469289779663,0.00322265625,0.0017343737476039679,0.029649000335484742,0.5517256751656532,-3.983960505105962,0.04,0.0,0.3605549894273281,-0.0721980096772313,0.41686476990580557,-0.026341103482991457,1.8500198094927562,773.0,0.26454293628808867,0.00025463719066465273,0.0,-9.709060054125036,-6.617585261823408,-9.608461592144389,1444.0,0.001708984375,-3.890149934557182,10.303208487926867,1281146.0,0.2696001298725605,18,1900.0,4.083522691762591,-0.9931949511170387,475.0,0.0,0.477367031854965,-10.296071756350324,-1.7659062383458233,-4.268774634899634,0.13971539456662355,-6.860642620364233,-1.4512133566488046,-0.03233024533838034
