test/episodes,train_0/mu_grads,train_0/mu_loss,train_1/n_subgoals,train_0/mu_grads_std,train_0/q_grads,test_1/n_subgoals,test_1/avg_q,train_0/q_loss,train_1/reward,train_0/next_q,train_1/mu_grads_std,train/episodes,train_1/reward_-1.0_frac,train_1/reward_-0.0_frac,train/success_rate,train_1/q_grads,train_1/current_q,train_0/fw_loss,train_0/reward,train_1/subgoal_succ_rate,policy/steps,train_0/reward_-0.0_frac,train_1/next_q,test/success_rate,train_1/fw_bonus,train_0/target_q,train_0/q_grads_std,train_1/mu_loss,train_0/reward_-1.0_frac,train_1/reward_-27.0_frac,train_0/fw_bonus,train_1/q_loss,train_0/avg_q,test_0/avg_q,epoch,train_1/avg_q,test_1/subgoal_succ_rate,train_1/mu_grads,train_1/q_grads_std,train_0/current_q,train_1/target_q,train_1/fw_loss
25.0,0.00032895603526412743,7.873842856326417,2700.0,0.15230294913053513,0.01161210706923157,675.0,-3.4870233866819142,0.6107319071272623,-2.143539739931293,-7.854933511242822,0.11297455541789532,100.0,0.1031005859375,0.0,0.0,-0.02004816518165171,-4.735085315135895,0.02783344523049891,-0.800899294748524,0.0,91125.0,0.0,-3.224165389104004,0.0,-0.9984808519482613,-8.169006443631211,0.1273448694497347,3.023288557632063,0.1170654296875,0.0,-0.999381598830223,5.6165871808580246,-15.240526945224653,-23.583613706615296,0,-15.341191112269899,0.0,-0.02010715832002461,0.11255012694746255,-7.998909714255902,-4.809379935036195,0.004134758014697581
50.0,-0.008341586217284203,8.157317576281672,2700.0,0.19839205108582975,0.0008133857234497554,662.0,-4.1915492442851265,0.6634102240146994,-2.146743598479952,-8.132550817889385,0.18093983978033065,200.0,0.0431884765625,0.0,0.0,-0.028083984972909093,-10.38773530158901,0.025714670680463313,-0.8044872877857415,0.00037037037037037035,181859.0,0.0,-9.723922667148955,0.04,-0.9976375892758369,-8.393970588655884,0.15267382226884366,8.011463778508695,0.1265380859375,0.0,-0.9994286864995956,7.544761768357226,-18.43336964550425,-18.675086036068432,1,-11.133762338081672,0.0,-0.04582536090165377,0.1285810090601444,-8.327926746244042,-10.343285310008184,0.006419019098393619
75.0,-0.017107947170734404,8.18828855665881,2700.0,0.23753191530704498,-0.0007985742093296721,676.0,-10.545942760103479,0.7088199707656082,-2.1515604188614814,-8.170526132195324,0.2076906282454729,300.0,0.027880859375,0.0,0.0,-0.02939670253545046,-10.799806083935596,0.022590379137545823,-0.8116264915493957,0.009259259259259259,272371.0,0.0,-10.269295320263137,0.0,-0.997676496207714,-8.431187902728144,0.1736800093203783,8.97278310506687,0.117236328125,0.0,-0.9994980916380882,4.193521813345422,-17.778908733627915,-12.666295656676816,2,-10.621845004299132,0.0014792899408284023,-0.046553605049848554,0.14490370638668537,-8.385928785686142,-10.804476498585137,0.006313612806843593
100.0,-0.028617569478228688,8.857476892397296,2699.0,0.26660812795162203,0.0050138479913584885,675.0,-13.271305480368389,0.7463171652363829,-2.184769404061808,-8.826424627143679,0.2287448715418577,400.0,0.0070068359375,0.0,0.01,-0.03734885761514306,-11.824106803437427,0.02535141110420227,-0.8210318510013167,0.0003705075954057058,363424.0,0.0,-11.554935108324159,0.0,-0.994807368516922,-9.10949528009695,0.20121598280966282,9.020420831110856,0.093115234375,0.0,-0.9994367480278015,4.461969791615672,-20.178992703337464,-25.78051361038593,3,-12.598414882812829,0.0,-0.044950063806027174,0.16608225852251052,-9.052634204265365,-11.905211242524713,0.014085662923753262
125.0,-0.03526706090196967,9.209376276821086,2700.0,0.28807423561811446,0.010253019630908966,675.0,-1.552707735142355,0.6809048519842469,-2.1719702455557126,-9.187336828318195,0.2393446836620569,500.0,0.005224609375,0.0,0.0,-0.03834931859746575,-14.517819683626437,0.02316984091885388,-0.8258046238115639,0.00037037037037037035,454543.0,0.0,-14.435987756520472,0.0,-0.9904981076717376,-9.482619997999123,0.224882385879755,4.248510990799829,0.090087890625,0.0,-0.9994852110743523,2.1865928365804526,-25.632405071073922,-26.232461952939374,4,-15.553112758354988,0.0,-0.04416702138260007,0.19697387404739858,-9.386681727433594,-14.47177243767012,0.025758782401680946
150.0,-0.043648306746035814,9.94810611324208,2700.0,0.3068605862557888,0.010312180873006583,675.0,-1.7096270577315658,0.6345808738626646,-2.1875838503794514,-9.902405587570371,0.24202512726187705,600.0,0.0018310546875,0.0,0.0,-0.04189055133610964,-26.043165331504486,0.01862157778814435,-0.8394049608075875,0.0,545668.0,0.0,-26.999997384803784,0.0,-0.99186692237854,-10.207723205161134,0.23834437429904937,3.2322415277496312,0.1162109375,0.0,-0.9995862871408463,19.55119360389899,-26.785675660609318,-27.0,5,-15.803605090892805,0.0,-0.044002192188054325,0.2481525469571352,-10.106384470706823,-25.221218225701563,0.022050883481279017
175.0,-0.047375194914639,10.634407552052926,2700.0,0.3253737986087799,0.011354598333127797,675.0,-0.0004500865390701939,0.6306182616706488,-2.1509399933456734,-10.59022415232507,0.24621664360165596,700.0,0.008740234375,0.0,0.0,-0.04227937674149871,-25.98956139277626,0.014548292523249984,-0.845529317510227,0.0,636793.0,0.0,-26.999999997947135,0.0,-0.993969838321209,-10.899157771494156,0.24726963341236113,0.1018346837801701,0.15908203125,0.0,-0.9996767893433571,17.140214372222324,-27.0,-27.0,6,-26.838751263087545,0.0,-0.04286370845511556,0.2636996656656265,-10.787813806222633,-25.213000538415184,0.016354410769417883
200.0,-0.05149043658748269,11.002474016613945,2700.0,0.3391686625778675,0.01126867621205747,675.0,-0.004319776004105977,0.5930831124149674,-2.1759566229040503,-10.950001706979057,0.24894094914197923,800.0,0.02890625,0.0,0.0,-0.04332795608788729,-25.96083887797846,0.012387816212140024,-0.8469205084082205,0.0,727918.0,0.0,-26.999999999997545,0.0,-0.9960538730025291,-11.257629388893601,0.252191186696291,0.0843423222535272,0.2399169921875,0.0,-0.9997248023748397,17.291774817363113,-27.0,-27.0,7,-26.63825080212588,0.0,-0.045403871685266495,0.27888135612010956,-11.152767710307225,-25.163727618995654,0.010709069774020464
225.0,-0.05798990139737725,11.350083638047476,2700.0,0.3502140551805496,0.010899676429107785,675.0,-0.0026970445728658077,0.48518245558105705,-2.1495694921839457,-11.278509191008116,0.2514234438538551,900.0,0.055078125,0.0,0.0,-0.04563748948276043,-25.959473594083892,0.008919154515024275,-0.8450059207323648,0.0,819043.0,0.0,-27.0,0.0,-0.9966731712222099,-11.627515260207295,0.2604697197675705,0.0849855685621596,0.305126953125,0.0,-0.9998018875718117,16.54697078009018,-27.0,-27.0,8,-26.85573298984873,0.0,-0.04688789220526814,0.2929798401892185,-11.468761203778163,-25.207108066402714,0.009031494951341302
250.0,-0.06004078257828951,11.318734213782065,2700.0,0.36321905702352525,0.012592369480989874,675.0,-1.1815772604936754,0.3561636497625916,-2.172432885612943,-11.25722274184244,0.2551750555634499,1000.0,0.0879150390625,0.0,0.0,-0.047239274624735116,-25.689075465028804,0.005319702258566395,-0.8333637828487553,0.0,910168.0,0.0,-27.0,0.0,-0.997648972272873,-11.578471234709372,0.27372937425971033,3.2653088581455494,0.4103515625,0.0,-0.9998818606138229,14.442362325466258,-27.0,-27.0,9,-26.679177300507888,0.0,-0.047639678698033094,0.30599082112312315,-11.453682852919867,-25.158265893425458,0.00638817286817357
275.0,-0.063003209233284,10.738168451300556,2700.0,0.37937686666846276,0.011317758727818728,675.0,-14.307877643696173,0.27983018321089703,-2.185200354737026,-10.678502884985837,0.26113507300615313,1100.0,0.2313720703125,0.0,0.0,-0.06139863757416606,-24.63358700838878,0.0033337215485516936,-0.8136836991434393,0.0,1001293.0,0.0,-23.99438891472972,0.0,-0.9989651501178741,-11.002957959778964,0.2796958044171333,13.552553943808686,0.4272216796875,0.0,-0.9999259978532791,34.19547605152655,-27.0,-27.0,10,-19.061401721044533,0.0,-0.04206999270245433,0.32670455053448677,-10.87565917272409,-22.491489761904262,0.002822820967412554
300.0,-0.06735779680311679,10.462662446252523,2700.0,0.3915856331586838,0.008862096071243285,675.0,-14.650906803767839,0.23466896791354114,-2.1257343516233957,-10.412907677144599,0.2619556486606598,1200.0,0.187158203125,0.0,0.0,-0.07493549101054668,-14.364184403552645,0.007870462955906987,-0.8017558535415447,0.0,1092418.0,0.0,-14.568414603168577,0.0,-0.9983925342559814,-10.76229839851544,0.2841369315981865,14.571626684678842,0.3653564453125,0.0,-0.9998251840472221,1.8907858579223238,-27.0,-27.0,11,-18.22059696359147,0.0,-0.04219863777980208,0.33373547792434693,-10.615484396334647,-14.379314056705686,0.004373992822365835
325.0,-0.07177284806966781,10.238325415319071,2700.0,0.3972611501812935,0.008485691342502832,675.0,-3.479359433680776e-13,0.2856274969408981,-2.1623144073659204,-10.210197849013104,0.2658136487007141,1300.0,0.200927734375,0.0,0.0,-0.07413146123290063,-0.1244504145590618,0.017813151725567876,-0.7991429466601403,0.0,1183543.0,0.0,-4.8939250198928714e-21,0.0,-0.9988231554627418,-10.540825739266225,0.2881732426583767,1.6979049490301611e-12,0.2873046875,0.0,-0.9996042549610138,18.752372123977995,-27.0,-27.0,12,-6.836784912422321,0.0,-0.03902528062462807,0.33582375571131706,-10.39554156994961,-2.1623144073659204,0.0032075101305963473
